CallNo,RptNo,PRA,Beat,OffId,FromDateTime,ToDateTime,NatCall,Title,Location,AptNo,RunDate,RunDataBeginDate,RunDataEndDate,lon,lat,address
122820593,120059367,376,480,1257,10/5/2012 19:30,10/6/2012 3:00,BURAPT,BURGLARY--APARTMENT,2508 PARK VILLAGE DR,805,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0657388,32.703987,"2508 park village drive, arlington, tx 76014, usa"
122830991,120059619,95,240,2725,10/9/2012 20:55,,BURAPT,BURGLARY--APARTMENT,1600 RIDGE HAVEN DR,206,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0873057,32.7618973,"1600 ridge haven drive, arlington, tx 76011, usa"
122280719,120048392,64,220,2725,8/15/2012 6:30,8/15/2012 19:15,BURAPT,BURGLARY--APARTMENT,2607 RIVER HILLS CR,1401,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0956971,32.7775544,"2607 river hills circle, arlington, tx 76006, usa"
122350196,120049664,84,220,1927,8/22/2012 7:13,,BURAPT,BURGLARY--APARTMENT,2306 FOREST OAKS CR,274,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0659043,32.7716741,"2306 forest oaks circle, arlington, tx 76006, usa"
122360733,120050004,416,530,2464,8/23/2012 15:00,8/23/2012 15:30,BURAPT,BURGLARY--APARTMENT,1003 REDLEAF DR,2801,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1256409,32.648167,"1003 redleaf drive, arlington, tx 76017, usa"
122370441,120050175,38,240,2112,8/21/2012 18:00,8/24/2012 11:43,BURAPT,BURGLARY--APARTMENT,2130 BRECKINRIDGE DR,139,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1008374,32.7691268,"2130 breckenridge drive, arlington, tx 76011, usa"
122430558,120051439,132,330,2598,8/24/2012 4:00,8/30/2012 12:45,BURAPT,BURGLARY--APARTMENT,2005 WESLEY DR,C,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1405784,32.7404714,"2005 wesley drive, arlington, tx 76012, usa"
122450119,120051801,62,220,2553,8/31/2012 21:45,9/1/2012 2:00,BURAPT,BURGLARY--APARTMENT,2801 FOREST HOLLOW LN,318,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0644462,32.7851194,"2801 forest hollow lane, arlington, tx 76006, usa"
122450403,120051858,384,560,2156,8/20/2012 12:00,9/1/2012 10:29,BURAPT,BURGLARY--APARTMENT,3815 MILL HEIGHT DR,210,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.084358,32.682712,"3815 mill height drive, arlington, tx 76014, usa"
122460796,120052183,390,320,2750,9/1/2012 2:00,9/2/2012 21:13,BURAPT,BURGLARY--APARTMENT,6800 PACES TR,816,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.2150363,32.6678211,"6800 paces trail, arlington, tx 76017, usa"
122471007,120052377,221,340,1349,9/3/2012 13:30,9/3/2012 23:45,BURAPT,BURGLARY--APARTMENT,4036 HAMILTON CR,105,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1707596,32.7103016,"4036 hamilton circle, arlington, tx 76013, usa"
122491244,120052812,274,450,2751,9/2/2012 8:45,9/5/2012 22:32,BURAPT,BURGLARY--APARTMENT,2301 CYPRESS CREEK LN,1034,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0699422,32.706675,"2301 cypress creek lane, arlington, tx 76010, usa"
122550457,120053925,40,240,2739,8/30/2012 8:00,9/9/2012 17:00,BURAPT,BURGLARY--APARTMENT,529 RIDINGS PL,106,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1069477,32.763635,"529 ridings place, arlington, tx 76011, usa"
122550882,120053988,316,460,1727,9/11/2012 7:45,,BURAPT,BURGLARY--APARTMENT,512 RITA LN,A,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.113396,32.694319,"512 rita lane, arlington, tx 76014, usa"
122560784,120054186,316,460,1727,9/12/2012 8:30,9/12/2012 17:30,BURAPT,BURGLARY--APARTMENT,416 HOLLY PARK DR,1115,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1083559,32.6924627,"416 holly park drive, arlington, tx 76014, usa"
122561032,120054236,320,460,1257,9/12/2012 7:30,9/12/2012 20:15,BURAPT,BURGLARY--APARTMENT,2309 TEAKWOOD DR,A,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.105231,32.7054598,"2309 teakwood drive, arlington, tx 76014, usa"
122580357,120054543,282,420,2090,9/14/2012 10:30,,BURAPT,BURGLARY--APARTMENT,3100 E PARK ROW DR,165,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0539465,32.7206812,"3100 east park row drive, arlington, tx 76010, usa"
122841138,120059846,263,450,1892,10/10/2012 15:30,10/10/2012 23:30,BURAPT,BURGLARY--APARTMENT,1500 LATRIUM PL,B,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0659247,32.7207661,"1500 latrium place, arlington, tx 76010, usa"
122890395,120060771,74,220,1845,10/15/2012 9:12,,BURAPT,BURGLARY--APARTMENT,2523 WALNUT HILL CR,1111,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0652427,32.7777916,"2523 walnut hill circle, arlington, tx 76006, usa"
122901077,120061077,241,360,2551,10/16/2012 20:00,10/16/2012 22:33,BURAPT,BURGLARY--APARTMENT,1016 BENT CREEK DR,410,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1184181,32.7111348,"1016 bent creek drive, arlington, tx 76013, usa"
122960270,120062239,84,220,2739,10/21/2012 22:00,10/22/2012 0:01,BURAPT,BURGLARY--APARTMENT,2301 BASIL DR,F306,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0688946,32.7744234,"2301 basil drive, arlington, tx 76006, usa"
122970379,120062474,89,230,1993,10/23/2012 8:00,10/23/2012 12:30,BURAPT,BURGLARY--APARTMENT,1504 STONELEIGH CT,1055,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0894124,32.7691613,"1504 stoneleigh court, arlington, tx 76011, usa"
122980811,120062771,119,330,2598,10/24/2012 16:15,10/24/2012 20:30,BURAPT,BURGLARY--APARTMENT,1614 PECAN CHASE CR,45,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1333177,32.7494225,"1614 pecan chase circle, arlington, tx 76012, usa"
123061002,120064448,74,220,2515,11/1/2012 17:00,11/1/2012 23:00,BURAPT,BURGLARY--APARTMENT,2523 WALNUT HILL CR,1110,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0652427,32.7777916,"2523 walnut hill circle, arlington, tx 76006, usa"
123070341,120064505,321,460,1494,11/2/2012 7:30,11/2/2012 8:00,BURAPT,BURGLARY--APARTMENT,3009 KINGSBRIDGE RD,3007,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0397939,32.772311,"3009 kingsbridge street, grand prairie, tx 75050, usa"
123070370,120064543,66,220,2556,11/2/2012 10:52,11/2/2012 11:02,BURAPT,BURGLARY--APARTMENT,1615 JEFFERSON CLIFFS WY,213,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0853113,32.7732857,"1615 jefferson cliffs way, arlington, tx 76006, usa"
123071027,120064656,30,240,2507,11/2/2012 8:00,11/2/2012 23:00,BURAPT,BURGLARY--APARTMENT,2312 MISTY RIDGE CR,249,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1001543,32.7734842,"2312 misty ridge circle, arlington, tx 76011, usa"
123090326,120064923,316,460,2082,11/4/2012 12:00,,BURAPT,BURGLARY--APARTMENT,312 HOLLY PARK DR,1076,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1097232,32.6924671,"312 holly park drive, arlington, tx 76014, usa"
123090609,120064975,320,460,2695,11/3/2012 13:00,11/4/2012 18:50,BURAPT,BURGLARY--APARTMENT,2309 TEAKWOOD DR,B,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.105231,32.7054598,"2309 teakwood drive, arlington, tx 76014, usa"
123110450,120065314,63,220,2541,11/4/2012 11:00,11/4/2012 19:35,BURAPT,BURGLARY--APARTMENT,1007 MILL CROSSING PL,275,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0952203,32.7798702,"1007 mill crossing place, arlington, tx 76006, usa"
122580729,120054675,104,330,2764,9/14/2012 16:00,9/14/2012 18:00,BURAPT,BURGLARY--APARTMENT,1504 VILLAGE CR,234,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1476964,32.7563556,"1504 village circle, arlington, tx 76012, usa"
